"city_id","name","state_id","name"
287,Jalaun,28,Uttar Pradesh
288,Jalgaon,15,Maharashtra
289,Jalore,22,Rajasthan
290,Jalpaiguri,29,West Bengal
291,Jammu,1,Andhra Pradesh
291,Jammu,9,Himachal Pradesh
291,Jammu,10,Jammu and Kashmir
291,Jammu,62,Kentucky
292,Jamtara,11,Jharkhand
292,Jamtara,14,Madhya Pradesh
292,Jamtara,29,West Bengal
293,Jaunpur,28,Uttar Pradesh
294,Jhabua,14,Madhya Pradesh
295,Jhalawar,22,Rajasthan
296,Jhargram,29,West Bengal
297,Jharsuguda,20,Odisha
297,Jharsuguda,59,Indiana
298,Jhunjhunu,22,Rajasthan
299,Jind,8,Haryana
299,Jind,43,Delhi NCR
300,Jodhpur,7,Gujarat
300,Jodhpur,8,Haryana
300,Jodhpur,21,Punjab
300,Jodhpur,22,Rajasthan
301,Junagadh,7,Gujarat
302,Kaithal,8,Haryana
302,Kaithal,9,Himachal Pradesh
303,Kakching,16,Manipur
304,Kalimpong,29,West Bengal
305,Kamareddy,25,Telangana
306,Kamrup,3,Assam
307,Kanchipuram,1,Andhra Pradesh
307,Kanchipuram,24,Tamil Nadu
308,Kandhamal,20,Odisha
309,Kangra,9,Himachal Pradesh
309,Kangra,21,Punjab
310,Kanker,5,Chhattisgarh
311,Kannauj,4,Bihar
311,Kannauj,28,Uttar Pradesh
312,Kannur,12,Karnataka
312,Kannur,13,Kerala
312,Kannur,15,Maharashtra
312,Kannur,25,Telangana
313,Kanyakumari,24,Tamil Nadu
314,Karaikal,36,Puducherry
315,Karauli,22,Rajasthan
315,Karauli,28,Uttar Pradesh
316,Karnal,8,Haryana
316,Karnal,9,Himachal Pradesh
316,Karnal,15,Maharashtra
316,Karnal,43,Delhi NCR
317,Karur,12,Karnataka
317,Karur,13,Kerala
317,Karur,24,Tamil Nadu
318,Kasaragod,13,Kerala
319,Kasganj,22,Rajasthan
319,Kasganj,28,Uttar Pradesh
320,Kathua,4,Bihar
320,Kathua,10,Jammu and Kashmir
320,Kathua,28,Uttar Pradesh
320,Kathua,29,West Bengal
321,Katihar,4,Bihar
321,Katihar,28,Uttar Pradesh
321,Katihar,29,West Bengal
322,Katni,4,Bihar
322,Katni,14,Madhya Pradesh
322,Katni,91,West Virginia
323,Kaushambi,28,Uttar Pradesh
324,Kendrapara,1,Andhra Pradesh
324,Kendrapara,20,Odisha
325,Khagaria,4,Bihar
326,Khandwa,14,Madhya Pradesh
326,Khandwa,15,Maharashtra
326,Khandwa,22,Rajasthan
326,Khandwa,28,Uttar Pradesh
327,Khargone,14,Madhya Pradesh
328,Kheda,7,Gujarat
328,Kheda,8,Haryana
328,Kheda,43,Delhi NCR
329,Khordha,20,Odisha
330,Khunti,11,Jharkhand
331,Kiphire,19,Nagaland
332,Kishanganj,4,Bihar
332,Kishanganj,22,Rajasthan
332,Kishanganj,29,West Bengal
333,Kishtwar,10,Jammu and Kashmir
334,Kodagu,12,Karnataka
334,Kodagu,24,Tamil Nadu
335,Koderma,11,Jharkhand
336,Kohima,19,Nagaland
337,Kolhapur,15,Maharashtra
338,Koppal,12,Karnataka
339,Koraput,20,Odisha
340,Kottayam,13,Kerala
341,Krishna,1,Andhra Pradesh
342,Krishnagiri,13,Kerala
342,Krishnagiri,24,Tamil Nadu
343,Kulgam,10,Jammu and Kashmir
343,Kulgam,218,Akita
344,Kullu,9,Himachal Pradesh
345,Kupwara,10,Jammu and Kashmir
346,Kurnool,1,Andhra Pradesh
347,Kurukshetra,8,Haryana
348,Kutch,7,Gujarat
